1	2	55448.639666609
1	3	3438.530919253
1	4	282698.464307543
2	3	88408.189364210
2	4	214033.877248830
3	4	318775.056092144
4	5	304181.182796126
4	7	476838.496716688
4	27	499431.321864956
5	6	250796.763679646
5	7	373606.540433445
5	8	276597.675808566
5	9	355364.993525619
5	10	337384.170172152
5	11	384310.696917443
5	12	381051.465531373
5	14	412688.678351193
5	16	452330.694459813
5	18	473097.935109260
5	19	372256.085017394
5	27	395558.610283249
6	7	388872.870834622
6	8	4650.017067060
6	9	315775.926959220
6	10	250512.585109097
6	11	111594.270484620
6	12	144877.029294119
6	14	309210.886428645
6	16	360878.161344489
6	18	249416.625397232
6	19	175282.505428442
6	24	472425.744743108
6	25	408381.039050842
6	26	426906.294226654
6	27	313502.884031782
6	29	237799.341842335
6	30	476918.021012641
6	32	492710.775722782
6	34	480241.648658230
7	8	392158.421522218
7	9	60354.309347423
7	10	141980.681711297
7	11	466741.708965062
7	12	353238.585102129
7	13	452502.343580012
7	14	151342.521279521
7	15	350394.215018260
7	16	138466.699817024
7	17	333618.192766595
7	18	367190.892142850
7	19	243505.703884156
7	20	334028.104631134
7	21	240593.923161936
7	22	291616.930638652
7	23	315392.020229846
7	24	301567.635170870
7	25	417903.573654136
7	26	406947.902962030
7	27	24907.170276330
7	28	394731.012774545
7	29	400387.935058076
7	34	442917.739380508
8	9	314531.064857686
8	10	245980.767425542
8	11	67239.233273814
8	12	99364.945168856
8	14	295724.377281889
8	16	345726.742655532
8	18	203963.231902867
8	19	128977.407853981
8	24	441165.645444141
8	25	362795.108879560
8	26	382797.214321167
8	27	305166.026475471
8	28	461895.793908086
8	29	190578.115751465
8	30	426692.463663042
8	31	489411.500886927
8	32	443096.078037195
8	34	435635.375419959
9	10	52728.629665499
9	11	379295.501842855
9	12	262885.303200853
9	14	73894.703505621
9	15	397685.486884645
9	16	86854.180529279
9	17	376602.521179816
9	18	275924.557315884
9	19	151571.987664076
9	20	365941.180528791
9	21	238497.876565399
9	22	292154.061247549
9	23	320906.974226752
9	24	260586.334974946
9	25	343023.948643562
9	26	334659.749852518
9	27	30323.954421531
9	28	344081.101401013
9	29	311310.143929174
9	31	457524.187723854
9	32	483431.373508251
9	34	376749.903961295
10	11	304970.021184399
10	12	187490.821938752
10	14	61346.273424631
10	15	482129.507324303
10	16	109213.418273294
10	17	459779.770645866
10	18	206905.997992014
10	19	77579.482750155
10	20	444652.188102098
10	21	294591.761869695
10	22	349532.233063248
10	23	381058.644226857
10	24	258323.011656198
10	25	297069.371036775
10	26	294456.832360954
10	27	50167.654948179
10	28	327418.478792621
10	29	243299.929285495
10	30	468869.764172651
10	31	420663.439757447
10	32	432475.027784693
10	34	342279.863399872
11	12	106888.550188626
11	14	336008.092211617
11	16	381213.336682673
11	18	186145.788321996
11	19	102315.500899935
11	24	448631.699511564
11	25	335801.060248339
11	26	358029.450784727
11	27	350629.119477437
11	28	445926.585043356
11	29	94440.099625177
11	30	350614.760940296
11	31	451764.598559971
11	32	388733.568837355
11	33	490852.192904797
11	34	404690.172187306
11	35	499660.747951752
12	14	212856.258245581
12	16	257903.592788175
12	18	93909.450749875
12	19	21086.038660245
12	21	448834.309929596
12	22	499492.583115339
12	24	333903.253866101
12	25	252708.648273328
12	26	271409.585172352
12	27	228643.594296107
12	28	349931.390677763
12	29	111959.742677734
12	30	338531.460390360
12	31	381612.031641452
12	32	342602.248370610
12	33	441285.170866718
12	34	324598.993449384
12	35	473036.039166729
12	36	487081.709996055
12	37	482193.684422500
13	15	91596.443500037
13	17	115859.027322190
13	20	161189.956464043
13	21	334281.375315971
13	22	325349.497622463
13	23	254681.983157739
13	27	338027.337510428
14	15	439677.451802585
14	16	37371.532439576
14	17	413034.931134050
14	18	196120.698715534
14	19	98313.793501669
14	20	390875.042481447
14	21	228773.527139898
14	22	283281.458325540
14	23	315505.115467019
14	24	187449.859959865
14	25	247830.808366796
14	26	239924.707906510
14	27	2798.642291383
14	28	259582.371172415
14	29	223722.628920929
14	30	435904.534030763
14	31	364082.414226984
14	32	388315.785349139
14	33	456608.186304204
14	34	283599.488429549
14	37	457513.706437011
15	16	390666.562195671
15	17	4814.166633684
15	20	68554.538423533
15	21	230110.150098404
15	22	225877.526446158
15	23	162285.088141359
15	24	409542.669179928
15	27	229090.055315948
15	28	487709.989043429
16	17	362357.450224619
16	18	228730.019454110
16	19	146593.991505547
16	20	339170.238791896
16	21	177213.227825535
16	22	231071.336321983
16	23	263846.374742627
16	24	146280.290504707
16	25	243037.791236764
16	26	231097.260927037
16	27	933.268173834
16	28	226819.976752366
16	29	247693.131021945
16	30	446072.837349945
16	31	347477.479284508
16	32	388197.415280558
16	33	445199.141864118
16	34	266710.220085040
16	37	433820.723953061
16	38	491409.257274535
17	20	17719.581147989
17	21	184495.778620906
17	22	177423.982889530
17	23	111306.425880099
17	24	365244.720201624
17	27	189122.605234945
17	28	440167.641098543
18	19	32369.126010730
18	21	400226.452723526
18	22	445305.235450681
18	23	474673.963355415
18	24	257807.553753926
18	25	145910.645459260
18	26	169522.584631314
18	27	196992.836471938
18	28	252790.776600233
18	29	2454.171682842
18	30	238571.353039861
18	31	269592.516897308
18	32	230538.623956791
18	33	327936.312079408
18	34	218626.003265539
18	35	363315.513302871
18	36	375443.237976191
18	37	369202.632132639
18	38	408055.394834815
19	21	340949.275913683
19	22	393149.178455262
19	23	425610.674308867
19	24	249072.306323440
19	25	171469.735105786
19	26	192320.359241174
19	27	112722.665668069
19	28	285126.474805520
19	29	0.000000000
19	30	224847.994685905
19	31	285910.008635590
19	32	232328.753651756
19	33	333160.271638755
19	34	238469.325567722
19	35	360122.579132366
19	36	375277.521103457
19	37	382613.301061906
19	38	416549.762403898
20	21	146756.700995143
20	22	135441.645964134
20	23	64769.799055486
20	24	327193.883250819
20	27	157637.186283968
20	28	397721.894579808
20	34	499650.764378426
21	22	5647.481987221
21	23	37528.456359984
21	24	144544.022768401
21	25	339136.260729983
21	26	320979.313212483
21	27	12256.897529374
21	28	228949.474644067
21	29	396760.286362922
21	31	391298.699436703
21	32	473469.837481573
21	33	490481.483417796
21	34	322246.425684883
21	37	433340.207711602
22	23	9453.860567750
22	24	172371.540197304
22	25	369408.921641698
22	26	350764.825146531
22	27	59252.498153549
22	28	242179.533460951
22	29	427704.300515573
22	31	406279.461846457
22	32	495075.666163920
22	34	343456.552272288
22	37	434016.122110907
23	24	196135.882343355
23	25	392042.088840144
23	26	373262.124497026
23	27	82617.251089177
23	28	258381.202446735
23	29	448609.203589615
23	31	421749.120100598
23	34	361950.105679545
23	37	442277.868439293
24	25	156416.728970519
24	26	137667.827475712
24	27	936.208210366
24	28	48648.670812735
24	29	214631.989465597
24	30	357381.842133183
24	31	203733.008488726
24	32	286371.125220462
24	33	303952.290631677
24	34	135019.231150249
24	35	386119.319723317
24	36	371619.953486695
24	37	261077.992986079
24	38	327412.096987060
24	39	436634.760268333
25	26	7986.944796510
25	27	36056.938726929
25	28	97501.573159295
25	29	43096.105993977
25	30	188605.412209862
25	31	115357.298693703
25	32	126205.222175747
25	33	194997.493881115
25	34	57119.858600882
25	35	255253.565975221
25	36	255195.531889109
25	37	216783.772699706
25	38	263757.928562528
25	39	379748.961922130
26	27	6254.329539013
26	28	67447.368044533
26	29	38253.689839749
26	30	176855.600400399
26	31	72494.660779729
26	32	106410.112140480
26	33	157478.144719095
26	34	15848.567411833
26	35	224505.556601679
26	36	220473.540645864
26	37	173644.804239877
26	38	221641.763421790
26	39	338095.336245816
27	28	1820.072912873
27	29	79844.269060864
27	30	219976.895450260
27	31	80927.276351554
27	32	148034.321020667
27	33	180904.557206784
27	34	937.590276819
27	35	256678.695099122
27	36	247141.819374293
27	37	173078.560159347
27	38	226783.266752422
27	39	343505.361550960
28	29	135212.808506622
28	30	264974.303844377
28	31	101676.342954977
28	32	187543.492462378
28	33	202441.747093399
28	34	39730.774151445
28	35	283979.704778323
28	36	270037.732962283
28	37	162183.346168473
28	38	230461.431093887
28	39	337465.183959040
29	30	10248.878014626
29	31	73128.352906900
29	32	1217.119409833
29	33	98911.553116942
29	34	19470.934513279
29	35	123478.636115180
29	36	138462.317728601
29	37	160406.722651905
29	38	183858.137375879
29	39	293050.435714836
30	31	174694.759400974
30	32	69078.815518146
30	33	132775.709057289
30	34	95903.440664614
30	35	121771.045786747
30	36	144440.467340142
30	37	218240.067408765
30	38	220283.943283651
30	39	311097.309706304
31	32	85789.174328037
31	33	84945.316739214
31	34	938.467874235
31	35	167552.122206409
31	36	152525.402194436
31	37	83246.635590802
31	38	132159.461897306
31	39	249165.777478876
32	33	44083.377998765
32	34	12665.945339130
32	35	76914.628485942
32	36	81309.372498195
32	37	122264.985054110
32	38	131348.311153950
32	39	233751.186101764
33	34	9204.751719281
33	35	66812.941204972
33	36	48387.542933281
33	37	73760.465081119
33	38	74398.560182303
33	39	178642.665167491
33	40	487158.882163866
34	35	92143.770827910
34	36	67352.324480115
34	37	45125.404224766
34	38	56404.923902420
34	39	169540.834990099
34	40	478755.570598364
35	36	12080.519186403
35	37	139487.021927555
35	38	116485.052248243
35	39	178132.482611357
35	40	469665.603949811
36	37	107575.079388826
36	38	84507.688433767
36	39	148591.642466165
36	40	446235.682920826
37	38	22000.796419737
37	39	118441.359997854
37	40	413062.285971020
37	41	478655.073855370
37	42	488639.823797902
38	39	101051.227006627
38	40	408962.328317497
38	41	473658.212807561
38	42	486971.566688218
39	40	274941.857227643
39	41	339310.043164395
39	42	353788.892959347
39	43	434526.330313324
39	46	480514.605613020
40	41	37195.759578077
40	42	52450.699120522
40	43	157358.468524020
40	44	233685.775783621
40	45	404572.679052371
40	46	189359.433119974
40	47	446506.971003831
40	48	482883.213740612
40	49	461801.144686906
41	42	11536.806078141
41	43	121601.896648298
41	44	176172.435057174
41	45	358385.587828807
41	46	141301.648542429
41	47	397936.270954729
41	48	431041.103041361
41	49	408647.337818978
42	43	87412.798366361
42	44	163401.959081454
42	45	331463.353018744
42	46	115974.324751309
42	47	410005.680111186
42	48	441154.723874426
42	49	417978.777712948
43	44	85038.381871931
43	45	207732.207498397
43	46	3538.162522599
43	47	435544.645533940
43	48	451678.186649461
43	49	426142.273378754
44	45	198884.022185431
44	46	29392.591460311
44	47	344148.942585452
44	48	354086.106821468
44	49	328925.472100082
44	50	472728.118612726
45	46	18882.084392983
45	49	488017.711483301
46	47	371312.503735791
46	48	371870.742711094
46	49	348945.162236146
46	50	489518.405101313
47	48	39286.775735253
47	49	42765.072720807
47	50	138011.934041354
48	49	3939.998476548
48	50	108607.782111672
49	50	122409.532556683
