1	368556734.59700000
2	146574761.70900000
3	3840636483.93000000
4	245173318.43900000
5	234522354.47100000
6	155045538.27500000
7	144627386.15600000
8	501732103.45600000
9	228773529.25000000
10	170387904.90100000
11	746029844.01100000
12	110351524.71700000
13	159696757.11800000
14	112454849.57700000
15	110128161.55100000
16	272982569.13500000
17	239184351.67100000
18	123495756.30900000
19	2806294765.28000000
20	394246459.97800000
21	278857092.26400000
22	241083887.16800000
23	1705440971.80000000
24	522909349.74300000
25	110902892.42000000
26	850536472.91900000
27	21342051897.10000000
28	1355407433.88000000
29	24129080899.50000000
30	203024454.95500000
31	112442603.80000000
32	341472441.33400000
33	118129228.93000000
34	2812404600.08000000
35	112018032.85300000
36	261638621.94400000
37	976080758.18500000
38	180895265.76700000
39	187774244.65800000
40	152173749.56300000
41	165240124.56300000
42	228067484.21700000
43	469309718.34200000
44	159556057.54600000
45	854608985.64300000
46	12810699503.20000000
47	110203791.13800000
48	114561336.05400000
49	139823469.98500000
50	391238110.40300000
